Name,new_Name,latitude,longitude
Banashankari,Bangalore Banashankari,15.8876779,75.7046777
Basavanagudi,Bangalore Basavanagudi,13.8345913,75.7339359
Mysore Road,Bangalore Mysore Road,12.9467026,77.5300705
Jayanagar,Bangalore Jayanagar,27.3493013,95.3159407
Kumaraswamy Layout,Bangalore Kumaraswamy Layout,12.9081487,77.5553179
Rajarajeshwari Nagar,Bangalore Rajarajeshwari Nagar,12.9274413,77.5155224
Vijay Nagar,Bangalore Vijay Nagar,6.9233338,93.9046149
Uttarahalli,Bangalore Uttarahalli,12.9055682,77.5455438
JP Nagar,Bangalore JP Nagar,12.2655944,76.6465404
South Bangalore,Bangalore South Bangalore,12.86360535,77.55585490441075
City Market,Bangalore City Market,39.76880625,-86.15345077251979
Nagarbhavi,Bangalore Nagarbhavi,12.95212575,77.5113129189094
Bannerghatta Road,Bangalore Bannerghatta Road,12.8555389,77.5887327
BTM,Bangalore BTM,12.911275849999999,77.60456543431182
Kanakapura Road,Bangalore Kanakapura Road,12.9255513,77.576957
Bommanahalli,Bangalore Bommanahalli,12.9089453,77.6239038
,,46.3144754,11.0480288
CV Raman Nagar,Bangalore CV Raman Nagar,17.2510682,80.1651978
Electronic City,Bangalore Electronic City,12.848759900000001,77.64825295827616
HSR,Bangalore HSR,29.1523467,75.7245798
Marathahalli,Bangalore Marathahalli,12.9552572,77.6984163
Sarjapur Road,Bangalore Sarjapur Road,12.9238287,77.6540991
Wilson Garden,Bangalore Wilson Garden,12.9489339,77.5968273
Shanti Nagar,Bangalore Shanti Nagar,21.2742644,79.4108959
Koramangala 5th Block,Bangalore Koramangala 5th Block,12.9348429,77.6189768
Koramangala 8th Block,Bangalore Koramangala 8th Block,12.9408685,77.617338
Richmond Road,Bangalore Richmond Road,40.588741,-74.102079
Koramangala 7th Block,Bangalore Koramangala 7th Block,12.9364846,77.6134783
Jalahalli,Bangalore Jalahalli,13.6510577,77.4305219
Koramangala 4th Block,Bangalore Koramangala 4th Block,12.9327778,77.6294052
Bellandur,Bangalore Bellandur,12.93103185,77.6782471
Whitefield,Bangalore Whitefield,53.5533682,-2.2969019
East Bangalore,Bangalore East Bangalore,12.993781,77.70586721537018
Old Airport Road,Bangalore Old Airport Road,44.6585357,-111.1212423
Indiranagar,Bangalore Indiranagar,12.9732913,77.6404672
Koramangala 1st Block,Bangalore Koramangala 1st Block,12.9277245,77.6327822
Frazer Town,Bangalore Frazer Town,12.9986827,77.615525
RT Nagar,Bangalore RT Nagar,13.0227204,77.595715
MG Road,Bangalore MG Road,12.9755264,77.6067902
Brigade Road,Bangalore Brigade Road,44.621621,-84.790422
Lavelle Road,Bangalore Lavelle Road,38.5034877,-122.7599099
Church Street,Bangalore Church Street,42.3743873,-71.120215
Ulsoor,Bangalore Ulsoor,12.9778793,77.6246697
Residency Road,Bangalore Residency Road,38.731025,-77.526294
Shivajinagar,Bangalore Shivajinagar,18.532248199999998,73.84990967997429
Infantry Road,Bangalore Infantry Road,34.263019,-77.8935868
St. Marks Road,Bangalore St. Marks Road,51.5238475,0.5591096
Cunningham Road,Bangalore Cunningham Road,52.6291666,1.2394086
Race Course Road,Bangalore Race Course Road,-33.8368493,18.6450685
Commercial Street,Bangalore Commercial Street,51.5154279,-0.0720144
Vasanth Nagar,Bangalore Vasanth Nagar,12.988721250000001,77.58516877601824
HBR Layout,Bangalore HBR Layout,13.0358698,77.6323597
Domlur,Bangalore Domlur,12.9624669,77.6381958
Ejipura,Bangalore Ejipura,12.945245,77.6269144
Jeevan Bhima Nagar,Bangalore Jeevan Bhima Nagar,12.9678074,77.6568367
Old Madras Road,Bangalore Old Madras Road,13.0570656,77.768675
Malleshwaram,Bangalore Malleshwaram,13.0027353,77.5703253
Seshadripuram,Bangalore Seshadripuram,16.7044988,80.5466724
Kammanahalli,Bangalore Kammanahalli,13.0093455,77.6377094
Koramangala 6th Block,Bangalore Koramangala 6th Block,12.9390255,77.6238477
Majestic,Bangalore Majestic,1.2847055,103.84320655721689
Langford Town,Bangalore Langford Town,12.957998,77.6037312
Central Bangalore,Bangalore Central Bangalore,12.9896127,77.5719793
Sanjay Nagar,Bangalore Sanjay Nagar,30.1915796,74.9408769
Brookefield,Bangalore Brookefield,33.5935063,-79.0345627
"ITPL Main Road, Whitefield","Bangalore ITPL Main Road, Whitefield",12.9768424,77.7103746
"Varthur Main Road, Whitefield","Bangalore Varthur Main Road, Whitefield",12.9413238,77.7471103
KR Puram,Bangalore KR Puram,13.007516,77.695935
Koramangala 2nd Block,Bangalore Koramangala 2nd Block,12.9243692,77.6242433
Koramangala 3rd Block,Bangalore Koramangala 3rd Block,12.9282918,77.6254034
Koramangala,Bangalore Koramangala,13.2923988,77.7519261
Hosur Road,Bangalore Hosur Road,12.8479569,77.6708831
Rajajinagar,Bangalore Rajajinagar,12.9882338,77.554883
Banaswadi,Bangalore Banaswadi,13.0141618,77.6518539
North Bangalore,Bangalore North Bangalore,12.9767936,77.590082
Nagawara,Bangalore Nagawara,13.2227,78.5541977
Hennur,Bangalore Hennur,13.0258087,77.6305067
Kalyan Nagar,Bangalore Kalyan Nagar,19.1602288,76.2772822
New BEL Road,Bangalore New BEL Road,13.0346384,77.5681733
Jakkur,Bangalore Jakkur,13.0784743,77.6068938
Rammurthy Nagar,Bangalore Rammurthy Nagar,,
Thippasandra,Bangalore Thippasandra,12.973936,77.6509982
Kaggadasapura,Bangalore Kaggadasapura,12.9846713,77.6790908
Hebbal,Bangalore Hebbal,13.0382184,77.5919
Kengeri,Bangalore Kengeri,12.9176571,77.4837568
Sankey Road,Bangalore Sankey Road,52.6997314,-2.0180248
Sadashiv Nagar,Bangalore Sadashiv Nagar,15.8782951,74.5084834
Basaveshwara Nagar,Bangalore Basaveshwara Nagar,12.9932236,77.5391579
Yeshwantpur,Bangalore Yeshwantpur,13.02383,77.5529215
West Bangalore,Bangalore West Bangalore,13.009476450000001,77.55308891231309
Magadi Road,Bangalore Magadi Road,12.975608,77.5553564
Yelahanka,Bangalore Yelahanka,13.1006982,77.5963454
Sahakara Nagar,Bangalore Sahakara Nagar,18.4900796,73.8475301
Peenya,Bangalore Peenya,13.0329419,77.5273253
